2026-02-02 00:51:29,054 - INFO - 开始导入所有股票数据（年份: [2015, 2016, 2017, 2018, 2019, 2020, 2021, 2022, 2023, 2024]）
2026-02-02 00:51:29,138 - INFO - 发现 5112 只股票
2026-02-02 00:51:30,218 - INFO - 已缓存 0 只股票，需要导入 5112 只股票
2026-02-02 00:51:31,305 - INFO - 开始分批导入数据，共 103 批
2026-02-02 00:51:31,305 - INFO - 处理第 1/103 批: 0-50
2026-02-02 00:51:33,766 - ERROR - 处理股票 sz002528 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,767 - ERROR - 处理股票 sz002570 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,774 - ERROR - 处理股票 sz300286 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,777 - ERROR - 处理股票 sz001339 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,789 - ERROR - 处理股票 sh603258 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,795 - ERROR - 处理股票 sz002303 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,795 - ERROR - 处理股票 sh603038 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,803 - ERROR - 处理股票 sh600084 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,806 - ERROR - 处理股票 sh688627 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,842 - ERROR - 处理股票 sz301428 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,855 - ERROR - 处理股票 sz003037 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,856 - ERROR - 处理股票 sz002835 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,861 - ERROR - 处理股票 sz301197 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,861 - ERROR - 处理股票 sh600851 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,867 - ERROR - 处理股票 sh600696 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,872 - ERROR - 处理股票 sz300497 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,875 - ERROR - 处理股票 sz301596 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,878 - ERROR - 处理股票 sh600329 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,883 - ERROR - 处理股票 sz002737 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,908 - ERROR - 处理股票 sh605011 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,915 - ERROR - 处理股票 sz003008 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,917 - ERROR - 处理股票 sh688120 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,919 - ERROR - 处理股票 sz002790 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,929 - ERROR - 处理股票 sh603007 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,934 - ERROR - 处理股票 sh600778 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:33,947 - INFO - 处理第 4/103 批: 150-200
2026-02-02 00:51:34,407 - ERROR - 处理股票 sh600667 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,432 - ERROR - 处理股票 sz300315 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,434 - ERROR - 处理股票 sz002875 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,438 - ERROR - 处理股票 sz300037 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,446 - ERROR - 处理股票 sz300549 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,451 - ERROR - 处理股票 sz000669 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,457 - ERROR - 处理股票 sz300980 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,462 - ERROR - 处理股票 sz002056 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,469 - ERROR - 处理股票 sz002061 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,477 - ERROR - 处理股票 sh688711 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,479 - ERROR - 处理股票 sh688569 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,483 - ERROR - 处理股票 sh600604 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,486 - ERROR - 处理股票 sh601166 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,493 - ERROR - 处理股票 sz000548 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,498 - ERROR - 处理股票 sz002434 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,511 - ERROR - 处理股票 sz300871 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,519 - ERROR - 处理股票 sh688005 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,524 - ERROR - 处理股票 sz300804 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,529 - ERROR - 处理股票 sz300162 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,530 - ERROR - 处理股票 sz002895 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,535 - ERROR - 处理股票 sz300452 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,537 - ERROR - 处理股票 sh688686 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,569 - ERROR - 处理股票 sh688408 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,573 - ERROR - 处理股票 sh605199 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,574 - ERROR - 处理股票 sz300201 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,578 - ERROR - 处理股票 sz300294 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,579 - ERROR - 处理股票 sz002111 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,584 - ERROR - 处理股票 sz000755 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,585 - ERROR - 处理股票 sh600844 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,587 - ERROR - 处理股票 sz001368 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,590 - ERROR - 处理股票 sz300155 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,596 - ERROR - 处理股票 sh600976 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,603 - ERROR - 处理股票 sh600693 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,609 - ERROR - 处理股票 sh600818 时出错: Expected file path name or file-like object, got <class 'bytes'> type
2026-02-02 00:51:34,609 - ERROR - 处理股票 sz001282 时出错: Expected file path name or file-like object, got <class 'bytes'> type
